title,description,content,source,published_at
"It’s Illegal in China to Lay Someone Off to Replace Them with AI, Court Finds","""Employers are prohibited from shifting operating costs to employees.""","The centrist Brookings Institution’s Darrell West said something to Politico last year that should go without saying, but I keep coming back to it because, to me, it’s comedy through understatement: … [+1976 chars]",Gizmodo.com,2026-05-03T09:30:15Z
AI giant Anthropic announces plans to list on US stock market,The AI company behind Claude is set to offer the public shares of stock sometime this year.,"While Anthropic, founded just five years ago, recently raised money from private investors that valued the company at more than $965bn (£717bn ), it did not reveal a target price for its planned publ… [+10 chars]",BBC News,2026-06-01T16:40:07Z
Whirlpool keeps ending up on the wrong side of the economy. Now its stock is circling the drain.,The appliance-maker is being hit by seemingly every negative macro force at once.,"When Whirlpool CEO Marc Bitzer said on a Thursday earnings call that his company was hampered by an ""almost perfect storm"" of headwinds in the first quarter, he might as well have been talking about … [+2954 chars]",Business Insider,2026-05-08T09:50:01Z
Bank of America says an under-the-radar sell signal is flashing in markets,"BofA pointed to falling cash levels among investors, a contrarian market signal that suggests investors are overly bullish on stocks.","A subtle contrarian sell signal has reared its head in markets, Bank of America says.
Global investors have significantly dropped their cash holdings, according to Bank of America, an under-the-rada… [+1928 chars]",Business Insider,2026-05-20T09:20:01Z
Turn Privacy Regulation into a Competitive Advantage,New research shows how it reshapes the timing of costs and benefits.,"When a new privacy regulation is announced, the reaction inside most companies is swift and familiar. Legal teams assess exposure, finance teams revise forecasts, and executives prepare for disruptio… [+228 chars]",Harvard Business Review,2026-06-01T13:00:00Z
GameStop CEO Ryan Cohen Banned From eBay After Flexing His Meme-Stock Muscle,The CEO got the boot after trying to sell stuff on eBay to 'pay for eBay.',"GameStop CEO Ryan Cohens recent publicity stunt, tied to his attempt to take over eBay, appears to have backfired almost immediately.
Cohen posted on X Wednesday night claiming that his eBay account… [+2766 chars]",Gizmodo.com,2026-05-07T16:40:54Z
Wall Street’s Stablecoin Darling Raises $222 Million to Starve Ethereum,Ethereum's relevance continues to dwindle as crypto aligns with institutions.,Increased centralization around stablecoin issuers and other fintech companies has defined much of the crypto market in recent years. And Circle has now furthered this trend by securing a $222 millio… [+4960 chars],Gizmodo.com,2026-05-11T16:40:43Z
Did Trump Accidentally Buy Stock in a Sushi Restaurant Instead of a Tech Company?,There's something fishy about the President's stock purchases.,"President Donald Trump bought millions of dollars of stock in drug companies, defense contractors, and tech firms during the first three months of this year, according to new financial disclosures re… [+4004 chars]",Gizmodo.com,2026-05-20T17:40:18Z
New York official warns AI could cost city thousands of jobs,A New York City official warned this week that those working in the Big Apple could face the brunt of the negative impacts of artificial intelligence...,"A New York City official warned this week that those working in the Big Apple could face the brunt of the negative impacts of artificial intelligence, possibly costing the city thousands of jobs.
Co… [+2421 chars]",The Hill,2026-05-23T18:25:32Z
What’s Going on With This Stock Market?,The boom is not as untethered from reality as it may look.,"The military stalemate between the United States and Iran is crippling the flow of oil around the world. Gas prices are soaring. Inflation is back above 3 percent. Consumer confidence is tanking, and… [+4355 chars]",The Atlantic,2026-05-04T16:38:00Z
Valve raises Steam Deck prices by more than $200,"Valve has significantly increased the price of the Steam Deck - but now, it's also in stock. The 512GB Steam Deck OLED now costs $789, up from $549, while the 1TB model costs $949, up from $649. As I write this, both models are available to buy on Steam with …","<ul><li></li><li></li><li></li></ul>
The 1TB OLED model got a $300 price increase, and now costs $949.
The 1TB OLED model got a $300 price increase, and now costs $949.
by
Jay PetersClose
Posts … [+2079 chars]",The Verge,2026-05-27T17:33:28Z
